,code,name,mbrg,nprg,nav,targ,epsg,seg
1716,000820,*ST节能,-7.682,-1171.7119,-249.13299999999998,-2.7646,-1237.5,-249.13299999999998
1717,000972,ST中基,24.9162,-1597.1081,23.8564,2.3451,-1454.4335,34.8352
1718,002373,千方科技,5.0015,-1650.5757,,,-1400.0,
1719,000815,美利云,17.9374,-1728.0953,-11.042,20.4749,-1100.0,-11.5203
1720,600532,宏达矿业,23.035,-2035.8648,-4.5966,0.6136,-11100.0,-5.1823
1721,000056,皇庭国际,-25.8306,-5234.0198,-93.9326,46.8243,-904.878,-33.225
1722,600777,新潮能源,25.4069,-8897.3147,-3.9627,13.5147,-6100.0,-5.625
1723,000751,锌业股份,65.8796,-14158.9014,-4.8979,31.0545,-3450.0,-5.1906
1724,600053,九鼎投资,285.9915,-22371.0381,-27.3931,-15.9219,-22277.7778,-27.3854
1725,600094,大名城,,,,10.3345,,
1726,600103,青山纸业,43.1168,,-6.6947,8.0177,-121.3333,-6.9298
1727,000697,炼石航空,7.539,,-2.5225,-6.2816,16.5563,-0.4992
1728,600111,北方稀土,134.418,,64.185,32.3146,-4505.8824,39.0035
1729,600536,中国软件,44.7906,,8.5288,26.6979,66.6667,-3.5074
1730,002145,中核钛白,195.7525,,-36.6923,-11.1145,-28.0,-37.738
1731,000736,中交地产,597.3883,,30.3273,-3.5747,-20100.0,19.0569
1732,000750,国海证券,19.7024,,3.0631,-11.4827,-4.3237,4.561
1733,600149,ST坊展,,,3.2313,4.6977,-67.5676,3.2019
1734,000755,山西路桥,11.2776,,8.0745,34.2494,-92.0,3.415
1735,002189,中光学,40.5508,,4.9407,4.8701,-333.3333,4.9639999999999995
1736,600171,上海贝岭,19.9616,,-0.7467,-1.0304,-122.5,-1.107
1737,601600,中国铝业,96.5624,,0.2987,5.0725,-111.7852,-0.8838
1738,600176,中国巨石,43.8731,,-13.8902,2.6957,-370.8251,-8.1773
1739,600180,瑞茂通,,,-49.8381,-60.8724,1000.0,-49.8381
1740,000723,美锦能源,80.0156,,-2.4134,2.5033,-62.5,-2.7973
1741,600555,海航创新,-28.0133,,-7.9049,-0.733,50.0,-6.627999999999999
1742,600130,波导股份,-6.03,,15.4959,-15.9609,-168.0,15.4959
1743,600135,乐凯胶片,7.3396,,0.4923,0.4507,-58.6957,0.4064
1744,600146,商赢环球,-33.9951,,-6.4443,-5.9915,-119.3333,-6.4443
1745,000757,浩物股份,23.3092,,,-17.1279,86.6667,21.7294
1746,000761,本钢板材,31.1806,,5.2036,2.9882,-159.08100000000002,4.9578
1747,600581,八一钢铁,48.7919,,22.2489,3.2565,-1000.0,22.2489
